faction,name,ecs,lsd,xan,total,overdose,rate
Tri,shikubi,33,0,97,130,2,65
Tri,canyueqiuyuan,34,0,565,604,13,46
Tri,Tiio,249,0,0,249,3,83
Tri,luo007nan,41,0,453,496,10,49
Tri,fleeting,13,0,72,86,2,43
Tri,vy0b0x,75,0,75,150,5,30
MHY,andyescobar,1,1,460,520,8,65
MHY,BaoGe,224,2,357,587,14,41
MHY,Pat_isha,30,2,19,56,2,28
MHY,ClaytonKersh22,32,18,215,265,8,33
MHY,Calers89,9,1,28,125,1,125
MHY,jeff_steveng,111,658,356,1308,61,21
MHY,Pyres,410,55,82,641,19,33
MHY,Brad2,52,21,187,265,4,66
MHY,Dante_Awakening,51,12,421,540,12,45
MHY,Kuang1,176,3,743,961,24,40
MHY,reproach,0,0,245,277,10,27
MHY,Lordminion777,5,0,76,87,1,87
MHY,NeoGebus,9,0,199,208,3,69
MHY,BoyPrincess,264,0,43,307,14,21
MHY,Repentance,17,0,58,97,5,19
MHY,Nikolaschka,4,9,93,108,2,54
MHY,catenary,51,0,1678,1779,36,49
MHY,Huazhen,128,50,1280,1700,32,53
MHY,Void_x,440,0,1054,1495,40,37
MHY,blue007,298,0,448,747,22,33
MHY,bloodfang0911,51,7,1357,1451,39,37
MHY,VIKINGZZZ,679,0,122,802,19,42
MHY,Isabelita_,31,5,175,213,2,106
MHY,pppzzz,53,0,49,102,6,17
MHY,senjuMadara,544,63,23,632,24,26
MHY,RobinTH,24,0,175,200,7,28
MHY,y1010,77,0,735,813,9,90
MHY,pengfeng10,53,0,444,498,10,49
MHY,shixuehong,19,0,312,331,5,66
MHY,HaveBear,41,0,422,465,14,33
MHY,Emil46,67,0,5,90,3,30
MHY,z1a4q7,52,0,846,900,12,75
MHY,RDNECT,59,0,290,351,5,70
MHY,DaliaWalter,287,51,75,413,9,45
MHY,maozi,10,0,223,233,4,58
MHY,kclo3onelife,419,1,0,420,11,38
MHY,kuangyeL,20,0,225,248,5,49
MHY,MisakaMikoto520,356,0,3,407,17,23
MHY,JXYH,30,0,67,97,2,48
MHY,Qinfeng_Lin,130,0,36,166,7,23
MHY,OldPan,104,10,364,503,11,45
MHY,xiaoji,56,0,72,141,3,47
MHY,TheFranxx,55,0,0,288,2,144
MHY,erxin,46,0,4,51,4,12
MHY,guiyidelinergou,32,1,39,72,3,24
MHY,GXM,43,0,98,145,2,72
MHY,nooname,46,0,93,140,2,70
MHY,Tiac,20,0,71,91,2,45
MHY,CloudZhang,59,0,182,241,5,48
MHY,Makinamy,26,0,52,78,5,15
MHY,Sky-king,50,0,83,274,8,34
MHY,wenzi,50,3,91,273,5,54
MHY,ANxNightMoon,158,0,1,173,5,34
MHY,HANBYmc,51,0,37,88,1,88
